iter	Passed	Remaining
290	3735	47617
291	3747	47594
292	3758	47556
293	3769	47512
294	3781	47495
295	3792	47451
296	3803	47425
297	3815	47398
298	3825	47355
299	3837	47323
300	3848	47297
301	3860	47268
302	3876	47298
303	3887	47267
304	3898	47225
305	3911	47214
306	3922	47183
307	3932	47142
308	3945	47128
309	3957	47108
310	3969	47087
311	3987	47131
312	3998	47099
313	4010	47078
314	4021	47044
315	4032	47008
316	4044	46986
317	4055	46958
318	4066	46926
319	4079	46910
320	4089	46875
321	4100	46842
322	4113	46827
323	4124	46797
324	4135	46767
325	4147	46745
326	4159	46718
327	4170	46684
328	4182	46673
329	4195	46663
330	4207	46639
331	4219	46613
332	4234	46632
333	4249	46638
334	4260	46609
335	4271	46581
336	4283	46563
337	4294	46526
338	4305	46494
339	4321	46518
340	4334	46505
341	4345	46476
342	4355	46436
343	4367	46420
344	4379	46397
345	4391	46375
346	4402	46349
347	4414	46328
348	4425	46292
349	4436	46262
350	4447	46233
351	4458	46204
352	4468	46169
353	4480	46145
354	4492	46126
355	4503	46095
356	4514	46071
357	4526	46046
358	4537	46019
359	4549	46001
360	4560	45976
361	4576	45991
362	4589	45978
363	4600	45957
364	4614	45952
365	4625	45930
366	4637	45907
367	4651	45909
368	4662	45883
369	4674	45864
370	4686	45840
371	4703	45870
372	4714	45845
373	4724	45809
374	4737	45794
375	4750	45785
376	4760	45750
377	4771	45718
378	4783	45703
379	4795	45684
380	4807	45666
381	4819	45642
382	4829	45607
383	4840	45585
384	4851	45557
385	4868	45581
386	4883	45594
387	4899	45610
388	4913	45609
389	4924	45578
390	4935	45551
391	4946	45531
392	4957	45500
393	4969	45482
394	4980	45459
395	4994	45455
396	5005	45430
397	5016	45399
398	5027	45375
399	5037	45340
400	5050	45324
401	5061	45305
402	5076	45311
403	5087	45283
404	5099	45267
405	5112	45253
406	5123	45226
